V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
3.5,15,0,0,--,0,False,False,False,--,0.546,-89.545,3.497,14.936,3.497,14.936,0.245,0.475,7.885,0.22,0.429,--,0,0,0,0,0,0,0,0,0,--,0.052,[0.984 1.    0.    0.    0.    0.    0.   ],[ 0.526 -0.942  0.013  0.185],[-90. -80.],--,0,0,0,0,1,0
3.5,20,0,0,--,3,False,True,False,--,0.532,-89.521,3.494,19.849,3.494,19.849,0.238,0.413,6.702,0.282,0.49,--,-129.406,129.406,-18.662,2.21,0.411,0,0,0,0,--,0.84,[0.99  1.    0.258 0.91  0.707 0.804 1.   ],[ 0.52  -0.905  0.014  0.163],[-90. -80.],--,1,0,0,0,0,0
3.5,25,0,0,--,3,False,True,False,--,0.512,-89.159,3.498,24.978,3.498,24.978,0.24,0.381,5.638,0.354,0.562,--,-128.811,128.811,-18.578,2.101,0.702,0,0,0,0,--,0.832,[0.991 1.    0.245 0.862 0.712 0.795 1.   ],[ 0.509 -0.836  0.016  0.164],[-90. -80.],--,1,0,0,0,0,0
3.5,30,0,0,--,3,False,True,False,--,0.501,-89.141,3.498,29.993,3.498,29.993,0.245,0.364,4.762,0.428,0.636,--,-128.787,128.787,-18.574,1.961,0.974,0,0,0,0,--,0.825,[0.991 1.    0.227 0.811 0.712 0.795 1.   ],[ 0.491 -0.736  0.02   0.17 ],[-90. -80.],--,1,0,0,0,0,0
3.5,35,0,0,--,3,False,True,False,--,0.513,-88.763,3.499,34.998,3.499,34.998,0.238,0.342,4.176,0.478,0.686,--,-117.69,117.69,-18.103,1.867,1.36,0,0,0,0,--,0.784,[0.998 1.    0.221 0.652 0.795 0.642 1.   ],[ 0.504 -0.686  0.018  0.149],[-90. -80.],--,1,0,0,0,0,0
3.5,40,0,0,--,3,False,True,False,--,0.536,-87.719,3.498,39.995,3.498,39.995,0.227,0.32,3.727,0.511,0.719,--,-116.159,116.159,-17.878,1.703,1.598,0,0,0,0,--,0.773,[1.    1.    0.214 0.579 0.806 0.621 1.   ],[ 0.528 -0.671  0.015  0.125],[-90. -80.],--,1,0,0,0,0,0
3.5,45,0,0,--,3,False,True,False,--,0.508,-86.791,3.499,44.998,3.499,44.998,0.234,0.318,3.148,0.578,0.786,--,-114.803,114.803,-17.678,1.516,1.82,0,0,0,0,--,0.767,[0.999 1.    0.258 0.506 0.815 0.603 1.   ],[ 0.511 -0.54   0.016  0.125],[-90. -80.],--,1,0,0,0,0,0
3.5,50,0,0,--,3,False,True,False,--,0.525,-87.316,3.498,49.996,3.498,49.996,0.229,0.306,2.739,0.613,0.821,--,-115.569,115.569,-17.791,1.28,2.028,0,0,0,0,--,0.769,[1.    1.    0.287 0.483 0.81  0.613 1.   ],[ 0.521 -0.488  0.015  0.112],[-90. -80.],--,1,0,0,0,0,0
3.5,55,0,0,--,3,False,True,False,--,0.502,-86.988,3.498,54.999,3.498,54.999,0.234,0.307,2.284,0.67,0.879,--,-115.088,115.088,-17.721,1.045,2.213,0,0,0,0,--,0.772,[1.    1.    0.344 0.462 0.813 0.606 1.   ],[ 0.506 -0.352  0.016  0.112],[-90. -80.],--,1,0,0,0,0,0
3.5,60,0,0,--,3,False,True,False,--,0.504,-85.659,3.498,60.002,3.498,60.002,0.241,0.31,1.863,0.731,0.939,--,-113.144,113.144,-17.434,0.815,2.372,0,0,0,0,--,0.771,[0.999 1.    0.401 0.44  0.826 0.58  1.   ],[ 0.503 -0.297  0.016  0.111],[-90. -80.],--,1,0,0,0,0,0
3.5,65,0,0,--,3,False,True,False,--,0.54,-86.3,3.499,65.005,3.499,65.005,0.233,0.299,1.561,0.739,0.947,--,-114.086,114.086,-17.572,0.531,2.516,0,0,0,0,--,0.775,[0.999 1.    0.438 0.423 0.82  0.593 1.   ],[ 0.515 -0.319  0.012  0.086],[-90. -80.],--,1,0,0,0,0,0
3.5,70,0,0,--,3,True,True,False,--,0.522,-86.831,3.499,70.009,3.499,70.009,0.227,0.29,1.253,0.746,0.954,--,-104.853,104.853,-17.169,0.316,2.751,0,0,0,0,--,0.652,[1.    1.    0.44  0.382 0.878 0.496 0.75 ],[ 0.523 -0.333  0.009  0.068],[-90. -80.],--,0,1,0,0,0,0
3.5,75,0,0,--,3,True,True,False,--,0.503,-86.622,3.498,75.013,3.498,75.013,0.236,0.298,0.899,0.798,1.006,--,-114.551,114.551,-17.642,-0.049,2.725,0,0,0,0,--,0.59,[1.    1.    0.592 0.388 0.817 0.155 0.75 ],[ 0.514 -0.286  0.009  0.065],[-90. -80.],--,0,1,0,0,0,0
3.5,80,0,0,--,3,True,True,False,--,0.52,-86.333,3.5,80.014,3.5,80.014,0.242,0.303,0.582,0.835,1.043,--,-116.212,116.212,-17.745,-0.363,2.766,0,0,0,0,--,0.601,[1.    1.    0.722 0.375 0.806 0.153 0.75 ],[ 0.518 -0.22   0.011  0.07 ],[-90. -80.],--,0,1,0,0,0,0
3.5,85,0,0,--,3,True,True,False,--,0.508,-85.592,3.5,85.018,3.5,85.018,0.246,0.305,0.286,0.856,1.064,--,-123.152,123.152,-17.794,-0.691,2.706,0,0,0,0,--,0.616,[0.999 1.    0.936 0.375 0.755 0.142 0.75 ],[ 0.504 -0.16   0.012  0.073],[-90. -80.],--,0,1,0,0,0,0
